1858,2
1863,2
1867,2
1870,1
1872,2
1875,2
1876,1
1878,1
1879,1
1880,1
1881,1
1883,1
1885,3
1886,3
1887,2
1888,5
1889,2
1890,2
1891,2
1892,2
1893,5
1894,3
1895,1
1896,7
1897,3
1898,3
1899,1
1900,3
1901,3
1902,6
1903,7
1904,3
1905,5
1906,7
1907,3
1908,8
1909,9
1910,6
1911,12
1912,14
1913,10
1914,9
1915,6
1916,8
1917,9
1918,17
1919,14
1920,16
1921,19
1922,16
1923,18
1924,12
1925,15
1926,20
1927,14
1928,14
1929,29
1930,34
1931,15
1932,29
1933,25
1934,26
1935,24
1936,29
1937,26
1938,28
1939,34
1940,35
1941,27
1942,34
1943,45
1944,36
1945,34
1946,46
1947,43
1948,48
1949,54
1950,56
1951,41
1952,50
1953,66
1954,49
1955,55
1956,46
1957,48
1958,58
1959,58
1960,68
1961,41
1962,73
1963,67
1964,70
1965,74
1966,79
1967,68
1968,64
1969,63
1970,83
1971,79
1972,70
1973,82
1974,73
1975,80
1976,84
1977,96
1978,82
1979,85
1980,94
1981,106
1982,77
1983,105
1984,89
1985,81
1986,99
1987,105
1988,110
1989,85
1990,110
1991,91
1992,101
1993,103
1994,100
1995,91
1996,109
1997,84
1998,106
1999,81
2000,116
2001,97
2002,117
2003,96
2004,114
2005,95
2006,91
2007,125
2008,107
2009,91
2010,88
2011,84
2012,101
2013,100
2014,80
2015,91
2016,90
2017,89
2018,86
2019,83
2020,94
2021,71
2022,85
2023,80
2024,78
2025,82
2026,79
2027,67
2028,65
2029,76
2030,74
2031,70
2032,70
2033,69
2034,65
2035,63
2036,72
2037,56
2038,50
2039,60
2040,59
2041,56
2042,58
2043,58
2044,57
2045,46
2046,53
2047,44
2048,60
2049,38
2050,50
2051,50
2052,47
2053,44
2054,33
2055,44
2056,34
2057,33
2058,35
2059,33
2060,31
2061,31
2062,29
2063,41
2064,26
2065,31
2066,29
2067,25
2068,28
2069,15
2070,17
2071,23
2072,17
2073,23
2074,24
2075,12
2076,17
2077,10
2078,16
2079,13
2080,18
2081,7
2082,12
2083,11
2084,14
2085,14
2086,12
2087,8
2088,6
2089,10
2090,6
2091,9
2092,9
2093,3
2094,5
2095,7
2096,8
2097,8
2098,3
2099,5
2100,7
2101,1
2102,3
2103,3
2104,3
2105,4
2106,2
2107,4
2108,3
2109,2
2110,5
2111,2
2112,1
2113,4
2114,4
2116,1
2117,1
2118,2
2119,2
2120,2
2121,1
2122,1
2123,3
2129,1
2131,2
2136,1
2139,1
2147,1
2152,1
